"ym","cmaca","cases","recips","depchld"
"199501","",24331,45967,17663
"199501","905",1590,3017,1195
"199501","907",1140,1984,728
"199501","910",818,1477,554
"199501","913",2593,4558,1632
"199501","915",6643,12407,4865
"199501","918",2998,5548,2149
"199501","920",663,1247,484
"199501","925",6735,12030,4444
"199501","930",3951,7517,3038
"199501","932",6611,12666,5172
"199501","933",103266,164032,50718
"199501","934",671,1269,514
"199501","935",16845,27005,8566
"199501","936",36,65,24
"199501","937",2317,4454,1799
"199501","938",7165,12832,4774
"199501","939",1126,2061,771
"199501","940",2046,3933,1567
"199501","943",3421,6589,2664
"199501","944",2190,4164,1690
"199501","945",1069,1911,691
"199501","950",1558,2969,1188
"199501","952",1693,3267,1290
"199501","955",1476,2862,1147
"199501","965",1379,2670,1068
"199501","970",6523,11868,4697
"199501","975",1269,2356,947
"199501","977",925,1757,731
"199501","NOT RECONCILED",2354,2631,228
"199502","",24064,45459,17475
"199502","905",1587,2991,1179
"199502","907",1152,2001,731
"199502","910",826,1488,555
"199502","913",2564,4528,1639
"199502","915",6615,12369,4847
"199502","918",2987,5490,2118
"199502","920",665,1268,495
"199502","925",6759,12149,4505
"199502","930",3990,7569,3050
"199502","932",6657,12752,5182
"199502","933",103120,163900,50702
"199502","934",635,1214,502
"199502","935",17091,27264,8577
"199502","936",38,71,26
"199502","937",2355,4534,1829
"199502","938",7179,12907,4818
"199502","939",1143,2090,774
"199502","940",2048,3892,1528
"199502","943",3453,6606,2640
"199502","944",2171,4117,1670
"199502","945",1092,1955,700
"199502","950",1565,2960,1179
"199502","952",1693,3251,1278
"199502","955",1453,2812,1125
"199502","965",1354,2617,1059
"199502","970",6460,11684,4604
"199502","975",1252,2337,950
"199502","977",890,1726,740
"199502","NOT RECONCILED",2569,2902,278
"199503","",24203,45601,17484
"199503","905",1635,3090,1215
"199503","907",1188,2061,745
"199503","910",837,1507,561
"199503","913",2611,4639,1693
"199503","915",6719,12570,4932
"199503","918",3040,5580,2142
"199503","920",672,1279,497
"199503","925",6905,12423,4631
"199503","930",4010,7640,3096
"199503","932",6760,13003,5313
"199503","933",104219,165530,51098
"199503","934",618,1171,479
"199503","935",17434,27639,8588
"199503","936",37,73,29
"199503","937",2378,4544,1817
"199503","938",7255,12960,4788
"199503","939",1123,2043,761
"199503","940",2034,3861,1521
"199503","943",3509,6698,2674
"199503","944",2172,4097,1654
"199503","945",1075,1904,678
"199503","950",1574,2977,1174
"199503","952",1695,3218,1255
"199503","955",1432,2748,1083
"199503","965",1374,2659,1077
"199503","970",6559,11887,4683
"199503","975",1221,2269,920
"199503","977",851,1665,713
"199503","NOT RECONCILED",2581,2938,290
"199504","",23744,44864,17288
"199504","905",1615,3033,1184
"199504","907",1187,2038,731
"199504","910",827,1512,572
"199504","913",2617,4651,1705
"199504","915",6643,12371,4857
"199504","918",3018,5539,2144
"199504","920",680,1274,489
"199504","925",6869,12311,4569
"199504","930",3966,7561,3067
"199504","932",6716,12941,5312
"199504","933",103017,164254,51065
"199504","934",595,1148,475
"199504","935",17196,27322,8564
"199504","936",34,66,26
"199504","937",2324,4432,1774
"199504","938",7210,12890,4763
"199504","939",1136,2052,764
"199504","940",2012,3824,1499
"199504","943",3433,6572,2645
"199504","944",2128,4029,1626
"199504","945",1078,1897,672
"199504","950",1534,2936,1169
"199504","952",1670,3192,1259
"199504","955",1381,2650,1056
"199504","965",1328,2559,1031
"199504","970",6624,11956,4683
"199504","975",1241,2302,924
"199504","977",842,1653,712
"199504","NOT RECONCILED",2766,3116,286
"199505","",23730,44732,17240
"199505","905",1658,3083,1188
"199505","907",1167,2020,741
"199505","910",808,1459,555
"199505","913",2592,4612,1684
"199505","915",6614,12330,4846
"199505","918",3005,5512,2117
"199505","920",678,1250,474
"199505","925",6888,12267,4536
"199505","930",4047,7669,3083
"199505","932",6723,12935,5294
"199505","933",103259,164404,51036
"199505","934",601,1152,476
"199505","935",17162,27248,8549
"199505","936",31,62,25
"199505","937",2285,4360,1748
"199505","938",7200,12790,4721
"199505","939",1092,1972,737
"199505","940",1965,3750,1485
"199505","943",3431,6513,2601
"199505","944",2118,3975,1597
"199505","945",1054,1849,651
"199505","950",1539,2946,1180
"199505","952",1661,3163,1227
"199505","955",1450,2777,1099
"199505","965",1309,2569,1059
"199505","970",6736,12158,4763
"199505","975",1195,2255,926
"199505","977",927,1841,782
