"ym","cd","csd","csdname","cases","recips","depchld"
"199501","01","022","Cranbrook",1441,2751,1102
"199501","03","004","Creston",419,801,302
"199501","03","015","Nelson",854,1430,504
"199501","03","045","Castlegar",402,772,302
"199501","03","052","Central Kootenay H",398,735,267
"199501","05","014","Trail",580,1041,388
"199501","05","032","Grand Forks",383,706,263
"199501","07","014","Oliver",406,745,265
"199501","07","035","Summerland",352,737,318
"199501","07","041","Penticton",2272,3986,1426
"199501","07","055","Okanagan-Similkameen H",858,1576,564
"199501","09","009","Hope",628,1104,384
"199501","09","020","Chilliwack",3512,6734,2745
"199501","09","052","Abbotsford",4551,8603,3456
"199501","09","056","Mission",2019,3976,1679
"199501","15","001","Langley Township",2130,3839,1474
"199501","15","002","Langley City",1458,2665,1040
"199501","15","004","Surrey",18188,32832,12431
"199501","15","007","White Rock",754,1071,266
"199501","15","011","Delta",2516,4475,1690
"199501","15","015","Richmond",4085,7151,2582
"199501","15","022","Vancouver",45142,63810,15192
"199501","15","025","Burnaby",9618,15778,5118
"199501","15","029","New Westminster",4653,6638,1562
"199501","15","034","Coquitlam",3848,6959,2630
"199501","15","039","Port Coquitlam",2124,3840,1480
"199501","15","043","Port Moody",668,1260,520
"199501","15","046","North Vancouver DM",1584,2704,953
"199501","15","051","North Vancouver City",2500,3941,1151
"199501","15","055","West Vancouver",376,512,115
"199501","15","070","Pitt Meadows",432,843,367
"199501","15","075","Maple Ridge",2922,5292,2016
"199501","17","010","Sidney",369,675,250
"199501","17","015","Central Saanich",248,458,179
"199501","17","021","Saanich",3922,6549,2256
"199501","17","027","Saltspring Island",381,728,298
"199501","17","034","Victoria",7757,11149,2799
"199501","17","040","Esquimalt",1777,2969,986
"199501","17","041","Colwood",371,739,317
"199501","17","044","Langford",852,1651,694
"199501","17","047","View Royal",345,639,260
"199501","17","052","Sooke",617,1242,523
"199501","19","008","North Cowichan",1713,3327,1351
"199501","19","012","Duncan",526,997,406
"199501","19","016","Lake Cowichan",390,834,366
"199501","21","007","Nanaimo",6699,12055,4519
"199501","21","010","Nanaimo A",326,538,176
"199501","21","018","Parksville",655,1184,437
"199501","21","032","Nanaimo F",421,783,282
"199501","23","008","Port Alberni",2022,3897,1558
"199501","24","034","Campbell River",1990,3794,1560
"199501","26","005","Comox",341,670,279
"199501","26","010","Courtenay",2335,4526,1836
"199501","27","008","Powell River",1054,1881,679
"199501","29","011","Sechelt",626,1117,418
"199501","31","006","Squamish",671,1269,514
"199501","33","042","Kamloops",5990,10576,3876
"199501","35","010","Kelowna",5268,9608,3681
"199501","35","029","West Kelowna",716,1495,660
"199501","35","802","Tsinstikeptum 9",287,573,232
"199501","37","014","Vernon",2634,4843,1858
"199501","37","028","Armstrong",400,794,329
"199501","39","032","Salmon Arm",663,1247,484
"199501","41","005","One Hundred Mile House",484,954,388
"199501","41","009","Williams Lake",1005,1873,740
"199501","41","013","Quesnel",1077,2023,781
"199501","43","023","Port Hardy",400,763,307
"199501","47","012","Prince Rupert",1398,2740,1109
"199501","49","005","Kitimat",470,896,367
"199501","49","011","Terrace",1045,2109,874
"199501","51","007","Vanderhoof",327,642,262
"199501","51","043","Smithers",337,628,250
"199501","53","023","Prince George",6319,11496,4558
"199501","55","014","Dawson Creek",1120,2073,832
"199501","55","034","Fort St. John",831,1574,655
"199502","01","022","Cranbrook",1432,2692,1064
"199502","03","004","Creston",421,779,285
"199502","03","015","Nelson",860,1431,500
"199502","03","045","Castlegar",405,767,300
"199502","03","052","Central Kootenay H",392,756,286
"199502","05","014","Trail",586,1047,387
"199502","05","032","Grand Forks",381,725,284
"199502","07","014","Oliver",397,724,256
"199502","07","035","Summerland",337,700,300
"199502","07","041","Penticton",2251,3962,1429
"199502","07","055","Okanagan-Similkameen H",829,1528,548
"199502","09","009","Hope",610,1084,382
"199502","09","020","Chilliwack",3560,6813,2771
"199502","09","052","Abbotsford",4585,8689,3485
"199502","09","056","Mission",2033,3975,1657
"199502","15","001","Langley Township",2095,3767,1449
"199502","15","002","Langley City",1443,2647,1048
"199502","15","004","Surrey",18210,33034,12573
"199502","15","007","White Rock",762,1071,260
"199502","15","011","Delta",2539,4472,1674
"199502","15","015","Richmond",4065,7087,2545
"199502","15","022","Vancouver",45018,63614,15138
"199502","15","025","Burnaby",9583,15732,5096
"199502","15","029","New Westminster",4619,6576,1537
"199502","15","034","Coquitlam",3845,7002,2653
"199502","15","039","Port Coquitlam",2151,3894,1505
"199502","15","043","Port Moody",677,1267,515
"199502","15","046","North Vancouver DM",1607,2726,955
"199502","15","051","North Vancouver City",2463,3883,1127
"199502","15","055","West Vancouver",366,501,109
"199502","15","070","Pitt Meadows",435,843,363
"199502","15","075","Maple Ridge",2951,5330,2017
"199502","17","010","Sidney",389,712,266
"199502","17","015","Central Saanich",248,469,188
"199502","17","021","Saanich",3968,6599,2268
"199502","17","027","Saltspring Island",403,754,301
"199502","17","034","Victoria",7860,11247,2798
"199502","17","040","Esquimalt",1788,2979,977
"199502","17","041","Colwood",379,737,310
"199502","17","044","Langford",874,1688,708
"199502","17","047","View Royal",354,650,262
"199502","17","052","Sooke",633,1247,506
"199502","19","008","North Cowichan",1754,3430,1397
"199502","19","012","Duncan",523,978,393
"199502","19","016","Lake Cowichan",389,830,364
"199502","21","007","Nanaimo",6697,12113,4566
"199502","21","010","Nanaimo A",332,546,171
"199502","21","018","Parksville",674,1213,439
"199502","21","032","Nanaimo F",429,780,271
"199502","23","008","Port Alberni",2018,3843,1512
"199502","24","034","Campbell River",1982,3762,1540
"199502","26","005","Comox",357,706,294
